Date,Price,Open,High,Low,Vol.,Change %,Pred,new
16-Jun-17,28616,28697,28718,28600,6.78K,-0.24%,205,37.06601399
19-Jun-17,28473,28593,28593,28460,7.55K,-0.50%,292,13.06075193
20-Jun-17,28475,28470,28530,28420,7.69K,0.01%,150,115.2128783
21-Jun-17,28495,28539,28575,28403,9.08K,0.07%,420,128.5571242
22-Jun-17,28557,28530,28670,28519,7.48K,0.22%,-42,178.2011992
23-Jun-17,28648,28596,28782,28596,7.10K,0.32%,-82,238.3382291
26-Jun-17,28426,28302,28440,28264,4.61K,-0.77%,262,301.0087744
27-Jun-17,28483,28411,28572,28401,7.63K,0.20%,23,243.493715
28-Jun-17,28485,28569,28660,28461,7.73K,0.01%,173,115.1678086
29-Jun-17,28527,28522,28550,28380,7.94K,0.15%,550,175.8805497
30-Jun-17,28295,28505,28505,28168,8.40K,-0.81%,928,128.5194192
3-Jul-17,27952,28300,28300,27925,3.24K,-1.21%,804,27.36257833
4-Jul-17,28043,27956,28169,27956,1.26K,0.33%,-39,300.6628631
5-Jul-17,28051,28120,28155,27845,0.90K,0.03%,927,243.2934099
6-Jul-17,28143,28200,28237,28111,10.57K,0.33%,205,69.1434314
7-Jul-17,27812,28101,28140,27754,16.37K,-1.18%,771,97.8066585
10-Jul-17,27840,27835,27887,27620,13.13K,0.10%,818,274.1267198
11-Jul-17,27871,27805,27929,27702,11.02K,0.11%,420,294.3848459
