Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
HINDUNILVR,EQ,16-Jan-2018,1367.2,1369.3,1389.5,1363.75,1385.55,1382.0,1378.87,896453,1236089037.1,41528,414063,46.19,1,2018,1.0825043885313024,positive
HINDUNILVR,EQ,17-Jan-2018,1382.0,1389.0,1391.0,1366.25,1375.85,1371.2,1374.9,1409691,1938177295.55,39219,826817,58.65,1,2018,-0.7814761215629518,Other
HINDUNILVR,EQ,18-Jan-2018,1371.2,1400.0,1406.9,1350.6,1359.0,1356.95,1371.16,2465412,3380482998.8,74335,1005255,40.77,1,2018,-1.0392357059509916,Other
HINDUNILVR,EQ,19-Jan-2018,1356.95,1370.4,1372.85,1350.05,1363.4,1362.45,1358.95,1491194,2026451855.0,50332,1088995,73.03,1,2018,0.4053207561074412,Slight or No change
HINDUNILVR,EQ,22-Jan-2018,1362.45,1363.0,1365.0,1346.45,1356.9,1355.1,1354.35,1014403,1373858237.95,50524,755117,74.44,1,2018,-0.5394693383243498,Other
HINDUNILVR,EQ,23-Jan-2018,1355.1,1360.7,1372.35,1350.05,1370.0,1368.35,1359.79,1284895,1747183875.3,66923,851779,66.29,1,2018,0.9777876171500166,Slight positive
HINDUNILVR,EQ,24-Jan-2018,1368.35,1368.0,1372.0,1335.05,1364.1,1365.9,1350.64,1819330,2457252980.7,36855,1179310,64.82,1,2018,-0.17904775824897357,Slight or No change
HINDUNILVR,EQ,25-Jan-2018,1365.9,1368.9,1378.0,1359.55,1370.25,1372.75,1371.15,2125894,2914917384.5,40884,1233347,58.02,1,2018,0.5015008419357203,Slight positive
HINDUNILVR,EQ,29-Jan-2018,1372.75,1370.0,1400.0,1367.2,1395.7,1397.3,1390.72,1406390,1955901617.05,44505,1071414,76.18,1,2018,1.7883809870697487,positive
HINDUNILVR,EQ,30-Jan-2018,1397.3,1397.3,1410.0,1390.1,1400.05,1400.25,1398.81,1310365,1832946368.95,52342,968350,73.9,1,2018,0.21112144850783388,Slight or No change
HINDUNILVR,EQ,31-Jan-2018,1400.25,1400.0,1400.0,1362.6,1365.3,1369.35,1374.26,1491912,2050281975.0,41100,1046008,70.11,1,2018,-2.206748794858071,Other
HINDUNILVR,EQ,01-Feb-2018,1369.35,1373.0,1384.8,1351.0,1367.9,1371.25,1369.28,1563429,2140768262.05,66180,903751,57.81,2,2018,0.13875196260999534,Slight or No change
HINDUNILVR,EQ,02-Feb-2018,1371.25,1352.0,1377.9,1352.0,1372.0,1372.2,1364.77,1699619,2319591945.1,52968,1243517,73.16,2,2018,0.06927985414768578,Slight or No change
HINDUNILVR,EQ,05-Feb-2018,1372.2,1352.1,1361.45,1341.25,1358.0,1355.75,1348.72,1585136,2137904606.1,56563,984059,62.08,2,2018,-1.198804838944767,Other
HINDUNILVR,EQ,06-Feb-2018,1355.75,1300.0,1348.5,1299.0,1327.85,1325.35,1319.99,1540401,2033321209.8,64484,948739,61.59,2,2018,-2.242301309238437,Other
HINDUNILVR,EQ,07-Feb-2018,1325.35,1322.0,1330.0,1307.05,1316.0,1312.65,1314.91,1561287,2052949901.25,48100,1003489,64.27,2,2018,-0.9582374467121735,Other
HINDUNILVR,EQ,08-Feb-2018,1312.65,1325.7,1337.55,1305.25,1334.2,1329.55,1328.81,1146084,1522925212.3,48868,766755,66.9,2,2018,1.287471907972404,positive
HINDUNILVR,EQ,09-Feb-2018,1329.55,1319.0,1340.0,1311.8,1336.0,1333.05,1324.46,810004,1072816199.7,37157,554347,68.44,2,2018,0.2632469632582346,Slight or No change
HINDUNILVR,EQ,12-Feb-2018,1333.05,1340.0,1349.9,1333.15,1337.0,1344.45,1342.09,1166428,1565450923.9,29286,900640,77.21,2,2018,0.8551817261168049,Slight positive
HINDUNILVR,EQ,14-Feb-2018,1344.45,1349.8,1353.2,1332.0,1347.1,1349.4,1346.9,857401,1154831367.3,32060,636456,74.23,2,2018,0.36818029677563313,Slight or No change
HINDUNILVR,EQ,15-Feb-2018,1349.4,1353.0,1364.45,1338.75,1361.4,1358.15,1354.05,844856,1143974154.85,30263,597057,70.67,2,2018,0.6484363420779626,Slight positive
HINDUNILVR,EQ,16-Feb-2018,1358.15,1364.0,1364.0,1348.0,1352.7,1352.1,1352.1,1091144,1475334377.35,27733,815446,74.73,2,2018,-0.4454588962927608,Slight or No change
HINDUNILVR,EQ,19-Feb-2018,1352.1,1359.0,1359.0,1328.8,1335.15,1335.9,1337.13,495950,663151723.3,21544,258620,52.15,2,2018,-1.1981362325271694,Other
HINDUNILVR,EQ,20-Feb-2018,1335.9,1332.15,1343.35,1327.85,1332.9,1331.8,1332.92,688130,917224029.35,31226,519931,75.56,2,2018,-0.3069091997904172,Slight or No change
HINDUNILVR,EQ,21-Feb-2018,1331.8,1339.0,1339.0,1323.0,1333.0,1330.6,1328.93,1406451,1869076546.7,52543,1122315,79.8,2,2018,-0.0901036191620408,Slight or No change
HINDUNILVR,EQ,22-Feb-2018,1330.6,1330.1,1333.8,1313.25,1324.25,1326.45,1322.5,2173259,2874137297.85,51927,1559779,71.77,2,2018,-0.3118893732150796,Slight or No change
HINDUNILVR,EQ,23-Feb-2018,1326.45,1326.5,1331.6,1320.2,1321.55,1323.15,1324.27,896708,1187483117.5,34564,667092,74.39,2,2018,-0.2487843492027575,Slight or No change
HINDUNILVR,EQ,26-Feb-2018,1323.15,1316.25,1338.4,1316.25,1332.85,1333.3,1331.68,1109668,1477727321.0,36605,911786,82.17,2,2018,0.7671087934096654,Slight positive
HINDUNILVR,EQ,27-Feb-2018,1333.3,1340.0,1352.5,1334.1,1346.5,1346.35,1345.75,1316559,1771754745.7,33287,1038120,78.85,2,2018,0.9787744693617206,Slight positive
HINDUNILVR,EQ,28-Feb-2018,1346.35,1338.4,1338.5,1311.0,1314.45,1317.75,1323.12,1862621,2464467119.6,48077,1485549,79.76,2,2018,-2.1242618932669766,Other
HINDUNILVR,EQ,01-Mar-2018,1317.75,1320.0,1329.0,1314.25,1325.0,1324.25,1322.23,961945,1271908612.0,31588,664200,69.05,3,2018,0.4932650350977008,Slight or No change
HINDUNILVR,EQ,05-Mar-2018,1324.25,1320.0,1320.95,1293.75,1300.85,1299.75,1299.37,842790,1095092521.1,29191,592144,70.26,3,2018,-1.850103832357941,Other
HINDUNILVR,EQ,06-Mar-2018,1299.75,1300.0,1307.9,1289.2,1293.2,1293.2,1301.38,738512,961083433.95,33643,518962,70.27,3,2018,-0.5039430659742217,Other
HINDUNILVR,EQ,07-Mar-2018,1293.2,1293.05,1307.6,1291.1,1297.0,1293.85,1296.69,917890,1190220924.55,28078,698821,76.13,3,2018,0.05026291370242575,Slight or No change
HINDUNILVR,EQ,08-Mar-2018,1293.85,1300.0,1305.55,1284.2,1293.45,1293.15,1291.87,739272,955044279.7,15188,438457,59.31,3,2018,-0.05410209838851987,Slight or No change
HINDUNILVR,EQ,09-Mar-2018,1293.15,1295.0,1303.0,1286.1,1302.85,1300.75,1297.29,852176,1105522636.0,33186,627404,73.62,3,2018,0.5877121756949988,Slight positive
HINDUNILVR,EQ,12-Mar-2018,1300.75,1305.0,1327.95,1294.05,1325.75,1324.2,1312.6,874857,1148334647.65,22007,632128,72.26,3,2018,1.802806073419183,positive
HINDUNILVR,EQ,13-Mar-2018,1324.2,1324.9,1331.45,1313.7,1317.4,1320.55,1323.48,1067772,1413170953.35,33424,788717,73.87,3,2018,-0.27563812112975095,Slight or No change
HINDUNILVR,EQ,14-Mar-2018,1320.55,1317.4,1325.0,1311.15,1318.0,1316.9,1319.27,760665,1003521067.25,28883,561214,73.78,3,2018,-0.27639998485478046,Slight or No change
HINDUNILVR,EQ,15-Mar-2018,1316.9,1313.9,1320.0,1294.25,1300.0,1299.95,1307.36,536838,701843139.3,23324,334120,62.24,3,2018,-1.2871136760574164,Other
