Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
15-May-17,9433.55,9449.25,9423.1,9445.4,145163953,7790.97
16-May-17,9461,9517.2,9456.35,9512.25,171709433,9209.89
17-May-17,9517.6,9532.6,9486.1,9525.75,211856040,10726.23
18-May-17,9453.2,9489.1,9418.1,9429.45,199340647,10782.46
19-May-17,9469.9,9505.75,9390.75,9427.9,259861396,11544.77
22-May-17,9480.25,9498.65,9427.9,9438.25,202874757,9432.97
23-May-17,9445.05,9448.05,9370,9386.15,231345629,11553.27
24-May-17,9410.9,9431.9,9341.65,9360.55,218265181,11045.95
25-May-17,9384.05,9523.3,9379.2,9509.75,298147347,16964.26
26-May-17,9507.75,9604.9,9495.4,9595.1,225647631,11204.36
29-May-17,9560.05,9637.75,9547.7,9604.9,242266034,12484.61
30-May-17,9590.65,9635.3,9581.2,9624.55,199894193,9765.4
31-May-17,9636.55,9649.6,9609.25,9621.25,427053433,19605.94
1-Jun-17,9603.55,9634.65,9589.9,9616.1,181533283,9482.61
2-Jun-17,9657.15,9673.5,9637.45,9653.5,167195027,8564.3
5-Jun-17,9656.3,9687.2,9640.7,9675.1,131685021,7192.24
6-Jun-17,9704.25,9709.3,9630.2,9637.15,150379695,8416.55
7-Jun-17,9663.95,9678.55,9630.55,9663.9,165669924,8989.36
8-Jun-17,9682.4,9688.7,9641.5,9647.25,160165459,8822.63
9-Jun-17,9638.55,9676.25,9608.15,9668.25,163897548,9078.71
12-Jun-17,9646.7,9647.05,9598.5,9616.4,145786938,7686.89
13-Jun-17,9615.55,9654.15,9595.4,9606.9,133734363,7056.83
14-Jun-17,9621.55,9627.4,9580.45,9618.15,187378750,10540.68
15-Jun-17,9617.9,9621.4,9560.8,9578.05,176423424,9868.08
16-Jun-17,9595.45,9615.85,9565.5,9588.05,219808528,11920.62
19-Jun-17,9626.4,9673.3,9614.9,9657.55,146146062,8144.36
20-Jun-17,9670.5,9676.5,9643.75,9653.5,164437226,8476.67
21-Jun-17,9648.1,9650.45,9608.6,9633.6,148490556,8023.4
22-Jun-17,9642.65,9698.85,9617.75,9630,204888654,10738.45
23-Jun-17,9643.25,9647.65,9565.3,9574.95,180580579,9092.74
27-Jun-17,9594.05,9615.4,9473.45,9511.4,209593904,11084.51
28-Jun-17,9520.2,9522.5,9474.35,9491.25,177652206,9103.73
29-Jun-17,9522.95,9575.8,9493.8,9504.1,267283587,13395.85
30-Jun-17,9478.5,9535.8,9448.75,9520.9,185202600,8783.59
3-Jul-17,9587.95,9624,9543.55,9615,188690599,8720.76
4-Jul-17,9645.9,9650.65,9595.5,9613.3,149313755,7774.69
5-Jul-17,9619.75,9643.65,9607.35,9637.6,134849476,7311.1
6-Jul-17,9653.6,9700.7,9639.95,9674.55,152001940,7539.21
7-Jul-17,9670.35,9684.25,9642.65,9665.8,146232151,8514.53
10-Jul-17,9719.3,9782.15,9646.45,9771.05,40142973,1920.78
11-Jul-17,9797.45,9830.05,9778.85,9786.05,185322358,9908.41
12-Jul-17,9807.3,9824.95,9787.7,9816.1,150045594,7966.44
13-Jul-17,9855.8,9897.25,9853.45,9891.7,186866752,10244.56
14-Jul-17,9913.3,9913.3,9845.45,9886.35,164456602,9187.71
17-Jul-17,9908.15,9928.2,9894.7,9915.95,168596771,8310.48
18-Jul-17,9832.7,9885.35,9792.05,9827.15,303007860,13184.22
19-Jul-17,9855.95,9905.05,9851.65,9899.6,206376192,10935.6
20-Jul-17,9920.2,9922.55,9863.45,9873.3,166083004,8942.56
21-Jul-17,9899.6,9924.7,9838,9915.25,193286125,11860.28
24-Jul-17,9936.8,9982.05,9919.6,9966.4,179905535,10837.2
25-Jul-17,10010.55,10011.3,9949.1,9964.55,191206247,10491.32
26-Jul-17,9983.65,10025.95,9965.95,10020.65,203697844,11403.3
27-Jul-17,10063.25,10114.85,10005.5,10020.55,296782048,18601.99
28-Jul-17,9996.55,10026.05,9944.5,10014.5,197491415,11996.8
31-Jul-17,10034.7,10085.9,10016.95,10077.1,245096535,13131.89
1-Aug-17,10101.05,10128.6,10065.75,10114.65,190000516,11515.29
2-Aug-17,10136.3,10137.85,10054.2,10081.5,166463276,9165.92
3-Aug-17,10081.15,10081.15,9998.25,10013.65,198665837,10714.1
4-Aug-17,10008.6,10075.25,9988.35,10066.4,184082134,10397.88
7-Aug-17,10074.8,10088.1,10046.35,10057.4,141566282,7827.95
8-Aug-17,10068.35,10083.8,9947,9978.55,209645343,10780.41
9-Aug-17,9961.15,9969.8,9893.05,9908.05,174395293,8831.72
10-Aug-17,9872.85,9892.65,9776.2,9820.25,242820594,12040.13
11-Aug-17,9712.15,9771.65,9685.55,9710.8,294732998,13435.56
14-Aug-17,9755.75,9818.3,9752.1,9794.15,201613585,9486.82
16-Aug-17,9825.85,9903.95,9773.85,9897.3,226269013,10815.38
17-Aug-17,9945.55,9947.8,9883.75,9904.15,203652311,9927.47
18-Aug-17,9865.95,9865.95,9783.65,9837.4,253931517,15636.16
21-Aug-17,9864.25,9884.35,9740.1,9754.35,211627775,11764
22-Aug-17,9815.75,9828.45,9752.6,9765.55,189267122,9850.89
23-Aug-17,9803.05,9857.9,9786.75,9852.5,173815509,9961.13
24-Aug-17,9881.2,9881.5,9848.85,9857.05,190398702,10392.63
28-Aug-17,9907.15,9925.75,9882,9912.8,164493772,9900.06
29-Aug-17,9886.4,9887.35,9783.75,9796.05,178668444,8469.09
30-Aug-17,9859.5,9909.45,9850.8,9884.4,162704136,8008.72
31-Aug-17,9905.7,9925.1,9856.95,9917.9,337782004,14619.43
1-Sep-17,9937.65,9983.45,9909.85,9974.4,162730656,9314.82
4-Sep-17,9984.15,9988.4,9861,9912.85,153369495,8069.64
5-Sep-17,9933.25,9963.1,9901.05,9952.2,143522342,7566.62
6-Sep-17,9899.25,9931.55,9882.55,9916.2,153767846,8926.98
7-Sep-17,9945.85,9964.85,9917.2,9929.9,194626599,9455.48
8-Sep-17,9958.65,9963.6,9913.3,9934.8,168698771,8792.49
11-Sep-17,9971.75,10028.65,9968.8,10006.05,178409875,9545.94
12-Sep-17,10056.85,10097.55,10028.05,10093.05,188248293,9894.2
13-Sep-17,10099.25,10131.95,10063.15,10079.3,221608053,10682.41
